Номер	Год	Цена	Топливо	Объем	Мощность	Коробка	Привод	Цвет	Пробег	Руль	Поколение
222	2015	1700000	бензин	2.0	144	вариатор	4WD	серый	101000	левый	3 поколение
223	2018	2000000	бензин	2.5	171	вариатор	4WD	170000	левый	3 поколение	
224	2004	595000	бензин	2.0	150	АКПП	4WD	черный	250000	правый	1 поколение, рестайлинг
225	2008	820000	бензин	2.5	169	вариатор	4WD	черный	160256	левый	2 поколение
226	2005	650000	бензин	2.0	140	АКПП	4WD	серый	225000	левый	1 поколение, рестайлинг
227	2010	1050000	бензин	2.5	169	вариатор	4WD	серебристый	185000	левый	2 поколение
228	2009	815000	бензин	2.0	141	вариатор	4WD	серебристый	204000	левый	2 поколение
229	2012	1280000	бензин	2.0	141	вариатор	4WD	белый	212000	левый	2 поколение, рестайлинг
230	2010	980000	бензин	2.0	141	механика	4WD	фиолетовый	210000	левый	2 поколение
231	2006	850000	бензин	2.5	165	АКПП	4WD	серый	335000	левый	1 поколение, рестайлинг
232	2008	855000	бензин	2.0	141	вариатор	4WD	серебристый	левый	2 поколение	
233	2019	2300000	бензин	2.0	144	вариатор	4WD	белый	70300	левый	3 поколение, рестайлинг
234	2016	1590000	бензин	2.0	147	вариатор	4WD	белый	105000	правый	3 поколение
235	2015	1500000	бензин	2.0	144	вариатор	4WD	синий	164000	левый	3 поколение
236	2006	700000	бензин	2.5	165	АКПП	4WD	серый	230000	левый	1 поколение, рестайлинг
237	2021	3299000	бензин	2.5	171	вариатор	4WD	синий	2242	левый	3 поколение, рестайлинг
238	2010	1068000	бензин	2.0	141	вариатор	4WD	серый	186000	левый	2 поколение
239	2011	1110000	бензин	2.0	141	вариатор	4WD	серебристый	120000	левый	2 поколение
240	2013	1450000	бензин	2.5	169	вариатор	4WD	бордовый	150000	левый	2 поколение, рестайлинг
241	2015	1520000	бензин	2.0	147	вариатор	4WD	красный	158000	правый	3 поколение
242	2010	970000	бензин	2.5	169	вариатор	4WD	серебристый	200000	левый	2 поколение
243	2010	970000	бензин	2.5	169	вариатор	4WD	черный	179000	левый	2 поколение
244	2011	1090000	бензин	2.5	169	вариатор	4WD	фиолетовый	165000	левый	2 поколение, рестайлинг
245	2019	1699000	бензин	2.0	147	вариатор	4WD	серебристый	94600	правый	3 поколение, рестайлинг
246	2008	1029000	бензин	2.0	141	вариатор	4WD	серый	220000	левый	2 поколение
247	2001	490000	бензин	2.0	150	АКПП	4WD	серый	266000	правый	1 поколение
248	2018	2060000	бензин	2.0	147	вариатор	4WD	белый	41000	правый	3 поколение, рестайлинг
249	2012	1200000	бензин	2.5	169	вариатор	4WD	синий	169000	левый	2 поколение, рестайлинг
250	2011	1100000	бензин	2.0	141	вариатор	4WD	серебристый	220000	левый	2 поколение, рестайлинг
251	2010	1160000	бензин	2.5	169	вариатор	4WD	серебристый	90000	левый	2 поколение
252	2010	1030000	бензин	2.5	169	вариатор	4WD	черный	179000	левый	2 поколение
253	2000	375000	бензин	2.0	150	АКПП	4WD	зеленый	360000	правый	1 поколение
254	2017	1950000	бензин	2.0	147	вариатор	4WD	белый	87000	правый	3 поколение, рестайлинг
255	2008	830000	бензин	2.5	169	вариатор	4WD	черный	250000	левый	2 поколение
256	2001	550000	бензин	2.0	150	АКПП	передний	белый	245000	правый	1 поколение
257	2003	670000	бензин	2.0	140	АКПП	4WD	голубой	230000	левый	1 поколение, рестайлинг
258	2012	1150000	бензин	2.0	141	вариатор	4WD	фиолетовый	200000	левый	2 поколение, рестайлинг
259	2007	880000	бензин	2.5	169	вариатор	4WD	черный	232000	левый	2 поколение
260	2022	3331000	бензин	2.0	144	вариатор	4WD	черный	новый автомобиль	левый	3 поколение, рестайлинг
261	2016	1570000	бензин	2.0	147	вариатор	4WD	серебристый	144000	правый	3 поколение
262	2007	760000	бензин	2.0	150	АКПП	4WD	черный	179100	правый	1 поколение, рестайлинг
263	2008	900000	бензин	2.5	169	вариатор	4WD	серебристый	240000	левый	2 поколение
264	2007	800000	бензин	2.5	169	вариатор	4WD	серый	225000	левый	2 поколение
265	2001	495000	бензин	2.0	150	АКПП	4WD	серый	298000	правый	1 поколение
266	2010	1030000	бензин	2.5	169	вариатор	4WD	189000	левый	2 поколение	
267	2001	600000	бензин	2.0	150	АКПП	4WD	белый	202959	правый	1 поколение
268	2012	1188000	бензин	2.0	141	вариатор	4WD	черный	140000	левый	2 поколение, рестайлинг
269	2010	1030000	бензин	2.0	141	вариатор	4WD	серый	152000	левый	2 поколение
270	2015	1350000	бензин	2.0	147	вариатор	4WD	белый	119900	правый	3 поколение
271	2017	1950000	бензин	2.5	171	вариатор	4WD	белый	94000	левый	3 поколение
272	2005	715000	бензин	2.5	165	АКПП	4WD	серый	212000	левый	1 поколение, рестайлинг
273	2012	1230000	бензин	2.0	141	вариатор	4WD	белый	165000	левый	2 поколение, рестайлинг
274	2005	690000	дизель	2.2	136	механика	4WD	серебристый	165297	левый	1 поколение, рестайлинг
275	2006	550000	бензин	2.5	165	АКПП	4WD	серый	195000	левый	1 поколение, рестайлинг
276	2008	940000	бензин	2.5	169	вариатор	4WD	черный	200182	левый	2 поколение
277	2011	1150000	дизель	2.0	150	механика	4WD	серый	231111	левый	2 поколение, рестайлинг
278	2008	820000	бензин	2.5	169	вариатор	4WD	серый	210000	левый	2 поколение
279	2014	1615000	бензин	2.0	147	вариатор	4WD	белый	123000	правый	3 поколение
280	2005	650000	бензин	2.5	165	АКПП	4WD	синий	168000	левый	1 поколение, рестайлинг
281	2002	575000	бензин	2.0	150	АКПП	4WD	черный	215000	правый	1 поколение
282	2008	870000	бензин	2.5	169	механика	4WD	159000	левый	2 поколение	
283	2010	1000000	бензин	2.0	137	вариатор	4WD	черный	172249	правый	2 поколение
284	2012	1100000	бензин	2.0	141	вариатор	4WD	220000	левый	2 поколение, рестайлинг	
285	2011	950000	бензин	2.5	169	вариатор	4WD	синий	140000	левый	2 поколение
286	2015	500000	бензин	2.0	144	вариатор	4WD	белый	81000	левый	3 поколение
287	2006	500000	бензин	2.5	165	АКПП	4WD	красный	230000	левый	1 поколение, рестайлинг
288	2012	650000	бензин	2.0	141	вариатор	4WD	серый	300000	левый	2 поколение, рестайлинг
289	2017	1630000	бензин	2.0	144	вариатор	4WD	серебристый	137000	левый	3 поколение
290	2011	950000	бензин	2.0	141	вариатор	4WD	бежевый	160000	левый	2 поколение
291	2013	1200000	бензин	2.0	141	вариатор	4WD	черный	150000	левый	2 поколение, рестайлинг
292	2012	1100000	бензин	2.0	141	вариатор	4WD	черный	160000	левый	2 поколение, рестайлинг
293	2017	2000000	бензин	2.5	171	вариатор	4WD	серебристый	47000	левый	3 поколение
294	2002	665000	бензин	2.0	150	АКПП	4WD	серый	252600	правый	1 поколение
295	2008	950000	бензин	2.0	137	механика	4WD	серебристый	130000	правый	2 поколение
296	2008	937000	бензин	2.5	169	вариатор	4WD	серебристый	179000	левый	2 поколение
297	2018	1485000	бензин	2.0	147	вариатор	передний	красный	49000	правый	3 поколение, рестайлинг
298	2012	1100000	бензин	2.0	141	вариатор	4WD	серебристый	145000	левый	2 поколение, рестайлинг
299	2015	1550000	бензин	2.0	144	вариатор	4WD	белый	130000	левый	3 поколение
300	2015	1517000	бензин	2.0	147	вариатор	4WD	серебристый	112500	правый	3 поколение
